[2025-12-10 17:16:37] ✗ Noticia NO encontrada para id=57 en tabla noticia
[2025-12-10 17:16:41] GET id=40, fuente=noticia
[2025-12-10 17:16:41] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
[2025-12-10 17:22:04] GET id=51, fuente=noticia
[2025-12-10 17:22:04] ✓ Noticia encontrada: ID=51, Título=Selecta Sub 17 alista su debut ante Corea del Norte en el Mundial de Catar 2025
[2025-12-10 19:41:11] GET id=43, fuente=noticia
[2025-12-10 19:41:11] ✓ Noticia encontrada: ID=43, Título=5 actividades que podés disfrutar este fin de semana en el Centro Histórico de San Salvador
[2025-12-11 00:32:29] GET id=53, fuente=noticia
[2025-12-11 00:32:29] ✓ Noticia encontrada: ID=53, Título=Por qué la mayoría de los plásticos no se puede reciclar
[2025-12-11 00:32:44] GET id=55, fuente=noticia
[2025-12-11 00:32:44] ✓ Noticia encontrada: ID=55, Título=Cambio climático: El ser humano ha calentado el planeta a un nivel nunca visto en los últimos 2000 años
[2025-12-11 00:49:48] GET id=45, fuente=noticia
[2025-12-11 00:49:48] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-11 00:50:04] GET id=45, fuente=noticia
[2025-12-11 00:50:04] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-11 00:53:28] GET id=45, fuente=noticia
[2025-12-11 00:53:28] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-11 00:59:15] GET id=45, fuente=noticia
[2025-12-11 00:59:15] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-11 00:59:26] GET id=41, fuente=noticia
[2025-12-11 00:59:26] ✓ Noticia encontrada: ID=41, Título=Ante la negativa del Camp Nou: Definen el estadio para el Barcelona-PSG
[2025-12-11 01:02:28] GET id=41, fuente=noticia
[2025-12-11 01:02:28] ✓ Noticia encontrada: ID=41, Título=Ante la negativa del Camp Nou: Definen el estadio para el Barcelona-PSG
[2025-12-11 01:03:44] GET id=55, fuente=noticia
[2025-12-11 01:03:44] ✓ Noticia encontrada: ID=55, Título=Cambio climático: El ser humano ha calentado el planeta a un nivel nunca visto en los últimos 2000 años
[2025-12-11 01:03:56] GET id=45, fuente=noticia
[2025-12-11 01:03:56] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-11 01:04:16] GET id=38, fuente=noticia
[2025-12-11 01:04:16] ✓ Noticia encontrada: ID=38, Título=Vientos nortes y lluvias moderadas marcarán el clima este martes
[2025-12-11 01:04:21] GET id=55, fuente=noticia
[2025-12-11 01:04:21] ✓ Noticia encontrada: ID=55, Título=Cambio climático: El ser humano ha calentado el planeta a un nivel nunca visto en los últimos 2000 años
[2025-12-11 01:04:26] GET id=50, fuente=noticia
[2025-12-11 01:04:26] ✓ Noticia encontrada: ID=50, Título=Mientras Saprissa ya se despidió de la Copa Centroamericana, Concacaf confirma el duro castigo que golpea a Vladimir Quesada
[2025-12-11 01:04:33] GET id=45, fuente=noticia
[2025-12-11 01:04:33] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-11 01:04:37] GET id=39, fuente=noticia
[2025-12-11 01:04:37] ✓ Noticia encontrada: ID=39, Título=¿Querés hacer camping y no sabés dónde? 5 destinos que te van a encantar
[2025-12-11 01:04:44] GET id=45, fuente=noticia
[2025-12-11 01:04:44] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-11 01:12:34] GET id=41, fuente=noticia
[2025-12-11 01:12:34] ✓ Noticia encontrada: ID=41, Título=Ante la negativa del Camp Nou: Definen el estadio para el Barcelona-PSG
[2025-12-11 01:14:07] GET id=41, fuente=noticia
[2025-12-11 01:14:07] ✓ Noticia encontrada: ID=41, Título=Ante la negativa del Camp Nou: Definen el estadio para el Barcelona-PSG
[2025-12-11 01:15:54] GET id=35, fuente=noticia
[2025-12-11 01:15:54] ✓ Noticia encontrada: ID=35, Título=Fox Racing El Salvador
[2025-12-11 01:16:01] GET id=34, fuente=noticia
[2025-12-11 01:16:01] ✗ Noticia NO encontrada para id=34 en tabla noticia
[2025-12-11 01:16:05] GET id=40, fuente=noticia
[2025-12-11 01:16:05] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
[2025-12-11 01:21:18] GET id=45, fuente=noticia
[2025-12-11 01:21:18] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-11 01:24:06] GET id=45, fuente=noticia
[2025-12-11 01:24:06] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-11 01:24:55] GET id=45, fuente=noticia
[2025-12-11 01:24:55] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-11 01:25:02] GET id=45, fuente=noticia
[2025-12-11 01:25:02] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-11 01:30:40] GET id=41, fuente=noticia
[2025-12-11 01:30:40] ✓ Noticia encontrada: ID=41, Título=Ante la negativa del Camp Nou: Definen el estadio para el Barcelona-PSG
[2025-12-11 01:34:10] GET id=45, fuente=noticia
[2025-12-11 01:34:10] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-11 01:34:18] GET id=34, fuente=noticia
[2025-12-11 01:34:18] ✗ Noticia NO encontrada para id=34 en tabla noticia
[2025-12-11 01:34:22] GET id=34, fuente=noticia
[2025-12-11 01:34:22] ✗ Noticia NO encontrada para id=34 en tabla noticia
[2025-12-11 01:34:26] GET id=40, fuente=noticia
[2025-12-11 01:34:26] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
[2025-12-11 01:34:54] GET id=40, fuente=noticia
[2025-12-11 01:34:54] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
[2025-12-11 01:34:55] GET id=40, fuente=noticia
[2025-12-11 01:34:55] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
[2025-12-11 01:34:55] GET id=40, fuente=noticia
[2025-12-11 01:34:55] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
[2025-12-11 01:35:13] GET id=40, fuente=noticia
[2025-12-11 01:35:13] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
[2025-12-11 01:35:22] GET id=40, fuente=noticia
[2025-12-11 01:35:22] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
[2025-12-11 01:35:50] GET id=40, fuente=noticia
[2025-12-11 01:35:50] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
[2025-12-11 01:35:57] GET id=40, fuente=noticia
[2025-12-11 01:35:57] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
[2025-12-11 01:36:02] GET id=38, fuente=noticia
